"city","population"
"Miraíma","13818"
"Missão Velha","35393"
"Mombaça","43797"
"Monsenhor Tabosa","17234"
"Morada Nova","61890"
"Moraújo","8724"
"Morrinhos","22534"
"Mucambo","14537"
"Mulungu","10823"
"Nova Olinda","15565"
"Nova Russas","32328"
"Novo Oriente","28607"
"Ocara","25703"
"Orós","21427"
"Pacajus","72203"
"Pacatuba","83432"
"Pacoti","12261"
"Palhano","9386"
"Palmácia","13322"
"Paracuru","35076"
"Paraipaba","32744"
"Parambu","31521"
"Paramoti","12226"
"Pedra Branca","43258"
"Pentecoste","37751"
"Pereiro","16307"
"Pindoretama","20567"
"Pires Ferreira","10951"
"Poranga","12336"
"Porteiras","14996"
"Potengi","11045"
"Potiretama","6419"
"Quiterianópolis","21084"
"Quixadá","87728"
"Quixelô","16178"
"Quixeramobim","81082"
"Quixeré","22149"
"Redenção","29053"
"Reriutaba","18491"
"Russas","78194"
"Salitre","16554"
"Santana do Acaraú","32452"
"Santana do Cariri","17700"
"Santa Quitéria","43703"
"São Benedito","47903"
"São Gonçalo do Amarante","48422"
"São João do Jaguaribe","7645"
"São Luís do Curu","13000"
"Senador Pompeu","25496"
"Senador Sá","7623"
"Sobral","208935"
"Solonópole","18324"
"Tabuleiro do Norte","30697"
"Tamboril","26251"
"Tauá","58859"
"Tejuçuoca","19187"
"Tianguá","75946"
"Trairi","55918"
"Tururu","16271"
"Ubajara","34792"
"Umirim","19825"
"Uruburetama","21850"
"Uruoca","13840"
"Varjota","18420"
"Várzea Alegre","40721"
"Viçosa do Ceará","60889"
"Acari","11136"
"Açu","58017"
"Afonso Bezerra","11035"
"Alexandria","13577"
"Alto do Rodrigues","14529"
"Antônio Martins","7145"
"Apodi","35845"
"Areia Branca","27774"
"Arês","14306"
"Augusto Severo (Campo Grande)","9655"
"Baía Formosa","9271"
"Baraúna","28374"
"Barcelona","3998"
"Bento Fernandes","5497"
"Brejinho","12699"
"Caicó","67952"
"Campo Redondo","11217"
"Canguaretama","34276"
"Caraúbas","20493"
"Carnaúba dos Dantas","8180"
"Carnaubais","10759"
"Ceará-Mirim","73497"
"Cerro Corá","11179"
"Coronel João Pessoa","4912"
"Currais Novos","44786"
"Parnamirim","261469"
"Encanto","5638"
"Extremoz","28583"
"Felipe Guerra","5985"
"Fernando Pedroza","3054"
"Goianinha","26328"
"Grossos","10383"
"Guamaré","15659"
"Ipanguaçu","15491"
"Itajá","7548"
"Jaçanã","9133"
"Januário Cicco (Boa Saúde)","10181"
"João Câmara","34955"
"Lagoa de Pedras","7544"
"Lagoa Salgada","8245"
"Lajes","11277"
"Lajes Pintadas","4759"
"Luís Gomes","10116"
"Macaíba","80792"
"Macau","31814"
"Maxaranguape","12371"
"Monte Alegre","22451"
"Mossoró","297378"
"Natal","884122"
"Nísia Floresta","27602"
"Nova Cruz","37343"
"Ouro Branco","4812"
"Paraú","3768"
"Passa e Fica","13277"
"Santa Maria","5551"
"Pau dos Ferros","30394"
"Pedra Grande","3237"
"Pedro Velho","14806"
"Pendências","15129"
"Pilões","3838"
"Poço Branco","15413"
"Portalegre","7867"
"Porto do Mangue","6437"
"Riacho da Cruz","3579"
"Riachuelo","8128"
"Tibau","4106"
"Santa Cruz","39674"
"Santana do Matos","12791"
"Santo Antônio","24136"
"São Gonçalo do Amarante","102400"
"São José de Mipibu","43899"
"São Miguel","23519"
"São Paulo do Potengi","17579"
"São Pedro","5971"
"São Rafael","8202"
"São Tomé","11055"
"São Vicente","6424"
"Senador Elói de Souza","6086"
"Senador Georgino Avelino","4440"
"Serra de São Bento","5762"
"Serra do Mel","11938"
"Serra Negra do Norte","8078"
"Taboleiro Grande","2566"
"Taipu","12279"
"Tenente Ananias","10786"
"Touros","33287"
"Upanema","14659"
"Alagoa Grande","28496"
"Alagoa Nova","20849"
"Alagoinha","14489"
"Alhandra","19588"
"São João do Rio do Peixe","18034"
"Araçagi","16987"
"Areia","22819"
"Aroeiras","19153"
"Baía da Traição","8993"
"Bananeiras","21318"
"Barra de Santana","8359"
"Barra de São Miguel","6036"
"Bayeux","96880"
"Bom Jesus","2561"
"Boqueirão","17804"
"Igaracy","6117"
"Borborema","5263"
"Brejo do Cruz","14122"
"Caaporã","21828"
"Cabedelo","67736"
"Caiçara","7201"
"Cajazeiras","61993"
"Cajazeirinhas","3193"
"Campina Grande","409731"
"Capim","6523"
"Casserengue","7468"
"Catingueira","4932"
"Condado","6654"
"Conde","24670"
"Congo","4786"
"Coremas","15445"
"Coxixola","1921"
"Cruz do Espírito Santo","17319"
"Cuitegi","6803"
"Cuité de Mamanguape","6353"
"Duas Estradas","3596"
"Esperança","33007"
"Gado Bravo","8316"
"Guarabira","58833"
"Gurinhém","14129"
"Imaculada","11819"
"Ingá","18103"
"Itabaiana","24477"
"Itaporanga","24692"
"Itapororoca","18664"
"João Pessoa","809015"
"Juarez Távora","7936"
"Juazeirinho","18171"
"Junco do Seridó","7150"
"Juripiranga","10756"
"Lagoa de Dentro","7719"
"Lagoa Seca","27503"
"Lucena","13080"
"Malta","5759"
"Mamanguape","44882"
"Mari","21837"
"Marizópolis","6617"
"Massaranduba","13918"
"Mataraca","8434"
"Matinhas","4500"
"Maturéia","6569"
"Monteiro","33222"
"Mulungu","9902"
"Natuba","10454"
"Nova Floresta","10638"
"Patos","107605"
"Pedras de Fogo","28458"
"Piancó","16075"
"Pilar","11917"
"Pilões","6635"
"Pilõezinhos","4976"
"Pirpirituba","10579"
"Pitimbu","19065"
"Pocinhos","18564"
"Pombal","32801"
"Princesa Isabel","23345"
"Puxinanã","13680"
"Queimadas","43967"
"Remígio","19621"
"Riachão do Bacamarte","4521"
"Riachão do Poço","4509"
"Riacho dos Cavalos","8526"
"Rio Tinto","24176"
"Santa Helena","5889"
"Santa Luzia","15382"
"Joca Claudino","2636"
"Santa Rita","136586"
"Santa Teresinha","4573"
"São Bento","34031"
"São José de Espinharas","4682"
"São José dos Ramos","5957"
"São José de Piranhas","20251"
"São José do Bonfim","3557"
"São José do Sabugi","4141"
"São Miguel de Taipu","7368"
"São Sebastião de Lagoa de Roça","11661"
"Sapé","52625"
"Serra Branca","13699"
"Serra da Raiz","3148"
"Serra Redonda","7041"
"Sertãozinho","5024"
"Sobrado","7783"
"Soledade","14989"
"Sousa","69444"
"Tacima","10911"
"Taperoá","15376"
"Teixeira","15161"
"Uiraúna","15242"
"Umbuzeiro","9907"
"Abreu e Lima","99990"
"Afogados da Ingazeira","37259"
"Afrânio","19635"
"Agrestina","24885"
"Água Preta","36771"
"Águas Belas","43443"
"Alagoinha","14636"
"Aliança","38386"
"Altinho","22972"
"Amaraji","22829"
"Araçoiaba","20524"
"Araripina","84418"
"Arcoverde","74338"
"Barra de Guabiraba","14385"
"Barreiros","42659"
"Belo Jardim","76439"
"Betânia","12719"
"Bezerros","60798"
"Bodocó","38146"
"Bom Conselho","48554"
"Bom Jardim","39184"
"Bonito","38134"
"Brejo da Madre de Deus","50742"
"Buenos Aires","13155"
"Buíque","58378"
"Cabo de Santo Agostinho","207048"
"Cabrobó","34221"
"Cachoeirinha","20380"
"Caetés","28739"
"Camaragibe","157828"
"Camocim de São Félix","18765"
"Camutanga","8551"
"Canhotinho","24804"
"Capoeiras","20048"
"Carnaíba","19551"
"Carnaubeira da Penha","12932"
"Carpina","83641"
"Caruaru","361118"
"Catende","42892"
"Cedro","11807"
"Chã de Alegria","13518"
"Chã Grande","21698"
"Condado","26421"
"Correntes","18207"
"Cortês","12578"
"Cumaru","10906"
"Cupira","24107"
"Custódia","37111"
"Escada","68875"
"Feira Nova","22131"
"Fernando de Noronha","3061"
"Ferreiros","12123"
"Floresta","32873"
"Frei Miguelinho","15457"
"Gameleira","31052"
"Garanhuns","139788"
"Glória do Goitá","30604"
"Goiana","79758"
"Granito","7486"
"Gravatá","84074"
"Ibimirim","29235"
"Ibirajuba","7762"
"Igarassu","117019"
"Iguaracy","12228"
"Inajá","23247"
"Ipojuca","96204"
"Ipubi","30854"
"Itaíba","26349"
"Ilha de Itamaracá","26258"
"Itambé","36447"
"Itapetim","13616"
"Itapissuma","26651"
"Itaquitinga","16955"
"Jaboatão dos Guararapes","702298"
"Jaqueira","11656"
"Jataúba","17150"
"Jatobá","14796"
"João Alfredo","33822"
"Joaquim Nabuco","16023"
"Jucati","11424"
"Jupi","14836"
"Jurema","15378"
"Lagoa do Carro","18071"
"Lagoa de Itaenga","21429"
"Lagoa do Ouro","13145"
"Lagoa dos Gatos","16290"
"Lajedo","40288"
"Limoeiro","56250"
"Macaparana","25376"
"Machados","16088"
"Maraial","11345"
"Moreno","62784"
"Nazaré da Mata","32471"
"Olinda","392482"
"Orobó","23884"
"Orocó","14991"
"Ouricuri","69459"
"Palmares","63250"
"Panelas","26474"
"Passira","28933"
"Paudalho","56506"
"Paulista","331774"
"Pedra","22617"
"Pesqueira","67395"
"Petrolândia","36548"
"Petrolina","349145"
"Poção","11302"
"Pombos","27091"
"Primavera","14966"
"Quipapá","26037"
"Quixaba","6813"
"Recife","1645727"
"Ribeirão","47415"
"Rio Formoso","23535"
"Sairé","9932"
"Salgueiro","60930"
"Saloá","15843"
"Sanharó","26462"
"Santa Cruz","15398"
"Santa Cruz do Capibaribe","107937"
"Santa Maria da Boa Vista","41931"
"Santa Maria do Cambucá","14137"
"São Benedito do Sul","15895"
"São Bento do Una","59504"
"São Caetano","37245"
"São João","22793"
"São Joaquim do Monte","21356"
"São José da Coroa Grande","21298"
"São José do Belmonte","33959"
"São José do Egito","33951"
"São Lourenço da Mata","113230"
"São Vicente Ferrer","18018"
"Serra Talhada","86350"
"Sertânia","35907"
"Sirinhaém","45865"
"Surubim","65089"
"Tabira","28534"
"Tamandaré","23388"
"Taquaritinga do Norte","28775"
"Terra Nova","10096"
"Timbaúba","53022"
"Toritama","45219"
"Tracunhaém","13769"
"Trindade","30521"
"Triunfo","15254"
"Tupanatinga","27304"
"Tuparetama","8202"
"Venturosa","18482"
"Vertentes","20731"
"Vicência","32643"
"Vitória de Santo Antão","138757"
"Xexéu","14725"
"Anadia","17545"
"Arapiraca","231747"
"Atalaia","47185"
"Barra de Santo Antônio","15932"
"Barra de São Miguel","8322"
"Batalha","18232"
"Boca da Mata","27281"
"Branquinha","10494"
"Cacimbinhas","10858"
"Cajueiro","21264"
"Campestre","6936"
"Campo Alegre","57063"
"Campo Grande","9558"
"Canapi","17722"
"Capela","17053"
"Coité do Nóia","10693"
"Colônia Leopoldina","21698"
"Coqueiro Seco","5845"
"Coruripe","56933"
"Craíbas","24219"
"Delmiro Gouveia","52016"
"Flexeiras","12790"
"Ibateguara","15616"
"Igaci","25631"
"Inhapi","18385"
"Japaratinga","8361"
"Jaramataia","5770"
"Jequiá da Praia","11580"
"Joaquim Gomes","23993"
"Junqueiro","24727"
"Lagoa da Canoa","17852"
"Limoeiro de Anadia","28635"
"Maceió","1018948"
"Major Isidoro","19804"
"Maragogi","32704"
"Maravilha","9163"
"Marechal Deodoro","51901"
"Maribondo","13264"
"Matriz de Camaragibe","24642"
"Messias","17856"
"Murici","28236"
"Novo Lino","12690"
"Olho d'Água das Flores","21688"
"Olivença","11624"
"Palestina","5011"
"Palmeira dos Índios","73218"
"Paripueira","13176"
"Paulo Jacinto","7564"
"Penedo","63683"
"Piaçabuçu","17827"
"Pilar","35111"
"Pindoba","2908"
"Poço das Trincheiras","14386"
"Porto Calvo","27165"
"Porto Real do Colégio","20066"
"Quebrangulo","11294"
"Rio Largo","75120"
"Santa Luzia do Norte","7296"
"Santana do Ipanema","47654"
"São José da Laje","23927"
"São Luís do Quitunde","34555"
"São Miguel dos Campos","61251"
"São Miguel dos Milagres","7951"
"São Sebastião","34152"
"Satuba","13828"
"Taquarana","19980"
"Teotônio Vilela","44169"
"União dos Palmares","65611"
"Viçosa","25733"
"Amparo de São Francisco","2374"
"Aquidabã","21563"
"Aracaju","657013"
"Arauá","10056"
"Areia Branca","18542"
"Barra dos Coqueiros","30407"
"Boquim","26816"
"Campo do Brito","18109"
"Canindé de São Francisco","29900"
"Capela","34213"
"Carira","22082"
"Carmópolis","16634"
"Cedro de São João","5897"
"Cristinápolis","17874"
"Divina Pastora","5138"
"Estância","69184"
"Frei Paulo","15421"
"Gararu","11604"
"Gracho Cardoso","5818"
"Indiaroba","17957"
"Itabaiana","95427"
"Itabaianinha","41928"
"Itaporanga d'Ajuda","34356"
"Japaratuba","18743"
"Japoatã","13434"
"Lagarto","104408"
"Laranjeiras","29826"
"Macambira","6919"
"Malhada dos Bois","3682"
"Malhador","12618"
"Maruim","17213"
"Moita Bonita","11335"
"Muribeca","7625"
"Nossa Senhora da Glória","36924"
"Nossa Senhora das Dores","26629"
"Nossa Senhora de Lourdes","6483"
"Nossa Senhora do Socorro","183628"
"Pacatuba","14428"
"Pedrinhas","9602"
"Pinhão","6576"
"Poço Redondo","34775"
"Poço Verde","23728"
"Porto da Folha","28596"
"Propriá","29626"
"Riachão do Dantas","19805"
"Riachuelo","10213"
"Ribeirópolis","18652"
"Rosário do Catete","10855"
"Salgado","19998"
"Santa Luzia do Itanhy","14035"
"Santana do São Francisco","7780"
"Santo Amaro das Brotas","12102"
