"city","population"
"Porto Feliz","53098"
"Porto Ferreira","56150"
"Pracinha","4093"
"Pradópolis","21496"
"Praia Grande","325073"
"Pratânia","5261"
"Presidente Alves","4094"
"Presidente Bernardes","13106"
"Presidente Epitácio","44200"
"Presidente Prudente","228743"
"Presidente Venceslau","39516"
"Promissão","40432"
"Quatá","14109"
"Quintana","6638"
"Rancharia","29707"
"Regente Feijó","20261"
"Reginópolis","9621"
"Registro","56322"
"Ribeirão Branco","16444"
"Ribeirão Pires","123393"
"Ribeirão Preto","703293"
"Rincão","10799"
"Rinópolis","9981"
"Rio Claro","206424"
"Rio das Pedras","35228"
"Rio Grande da Serra","50846"
"Salesópolis","17139"
"Saltinho","8286"
"Salto","118663"
"Salto de Pirapora","45422"
"Salto Grande","9331"
"Santa Bárbara d'Oeste","193475"
"Santa Branca","14788"
"Santa Cruz da Conceição","4503"
"Santa Cruz da Esperança","2139"
"Santa Cruz do Rio Pardo","47673"
"Santa Fé do Sul","32322"
"Santa Gertrudes","26898"
"Santa Isabel","57386"
"Santa Lúcia","8817"
"Santa Maria da Serra","6173"
"Santana de Parnaíba","139447"
"Santa Rita do Passa Quatro","27557"
"Santo Anastácio","20878"
"Santo André","718773"
"Santo Antônio da Alegria","6929"
"Santo Antônio de Posse","23310"
"Santo Antônio do Aracanguá","8420"
"Santo Antônio do Jardim","5954"
"Santo Antônio do Pinhal","6811"
"Santos","433311"
"São Bernardo do Campo","838936"
"São Caetano do Sul","161127"
"São Carlos","251983"
"São João da Boa Vista","91211"
"São Joaquim da Barra","51888"
"São José do Rio Pardo","54946"
"São José do Rio Preto","460671"
"São José dos Campos","721944"
"São Lourenço da Serra","15825"
"São Luiz do Paraitinga","10687"
"São Manuel","40954"
"São Miguel Arcanjo","32931"
"São Paulo","12252023"
"São Pedro","35653"
"São Pedro do Turvo","7666"
"São Roque","91016"
"São Sebastião","88980"
"São Sebastião da Grama","12182"
"São Vicente","365798"
"Sarapuí","10285"
"Sarutaiá","3638"
"Serra Azul","14662"
"Serrana","45107"
"Serra Negra","29229"
"Sertãozinho","125815"
"Sete Barras","12832"
"Silveiras","6302"
"Socorro","41005"
"Sorocaba","679378"
"Sud Mennucci","7718"
"Sumaré","282441"
"Suzano","297637"
"Tabatinga","16496"
"Taboão da Serra","289664"
"Taguaí","13859"
"Taiaçu","6295"
"Tanabi","25967"
"Tapiraí","7807"
"Tapiratiba","12960"
"Taquaritinga","57177"
"Taquarituba","23218"
"Taquarivaí","5852"
"Tarabai","7468"
"Tarumã","15000"
"Tatuí","121766"
"Taubaté","314924"
"Teodoro Sampaio","23148"
"Terra Roxa","9370"
"Tietê","42076"
"Timburi","2658"
"Torre de Pedra","2412"
"Torrinha","10010"
"Tuiuti","6894"
"Tupã","65524"
"Tupi Paulista","15495"
"Ubatuba","90799"
"Ubirajara","4780"
"Uchoa","10110"
"União Paulista","1844"
"Uru","1165"
"Valinhos","129193"
"Valparaíso","26480"
"Vargem","10537"
"Vargem Grande do Sul","42845"
"Vargem Grande Paulista","52597"
"Várzea Paulista","121838"
"Vinhedo","78728"
"Viradouro","18898"
"Vista Alegre do Alto","8810"
"Votorantim","122480"
"Votuporanga","94547"
"Chavantes","12418"
"Estiva Gerbi","11304"
"Abatiá","7457"
"Agudos do Sul","9371"
"Almirante Tamandaré","118623"
"Alto Paraná","14770"
"Alvorada do Sul","11406"
"Amaporã","6257"
"Ampére","19152"
"Apucarana","134996"
"Arapongas","123027"
"Araruna","13970"
"Araucária","143843"
"Assaí","15119"
"Assis Chateaubriand","33362"
"Balsa Nova","12941"
"Bandeirantes","31367"
"Barracão","10275"
"Boa Vista da Aparecida","7591"
"Cafeara","2934"
"Cambé","106533"
"Campina da Lagoa","14202"
"Campina Grande do Sul","43288"
"Campo Bonito","3833"
"Campo do Tenente","7971"
"Campo Largo","132002"
"Campo Magro","29318"
"Campo Mourão","94859"
"Cascavel","328454"
"Castro","71484"
"Centenário do Sul","10827"
"Céu Azul","11765"
"Chopinzinho","19254"
"Cianorte","82620"
"Colombo","243726"
"Colorado","24012"
"Contenda","18584"
"Cornélio Procópio","47845"
"Cruzeiro do Sul","4469"
"Curitiba","1933105"
"Dois Vizinhos","40641"
"Faxinal","17251"
"Fazenda Rio Grande","100209"
"Floresta","6774"
"Foz do Iguaçu","258532"
"Francisco Beltrão","91093"
"General Carneiro","13710"
"Goioerê","28884"
"Guaíra","33119"
"Guairaçá","6581"
"Guaraci","5502"
"Guaraniaçu","12472"
"Guarapuava","181504"
"Guaraqueçaba","7636"
"Guaratuba","37067"
"Ibaiti","31364"
"Ibema","6352"
"Ibiporã","54558"
"Imbaú","13111"
"Imbituva","32564"
"Inácio Martins","11125"
"Iretama","10169"
"Itaperuçu","28634"
"Itaúna do Sul","2865"
"Ivaí","13879"
"Ivaiporã","31984"
"Jacarezinho","39378"
"Jaguapitã","13620"
"Japurá","9425"
"Jataizinho","12588"
"Jussara","7013"
"Lapa","48163"
"Leópolis","3954"
"Loanda","23086"
"Londrina","569733"
"Mallet","13630"
"Mandaguaçu","22819"
"Mandaguari","34400"
"Mandirituba","26869"
"Manoel Ribas","13502"
"Marechal Cândido Rondon","52944"
"Marialva","35496"
"Marilândia do Sul","8836"
"Marilena","7076"
"Maringá","423666"
"Mariópolis","6610"
"Marumbi","4679"
"Matinhos","34720"
"Medianeira","46198"
"Mirador","2213"
"Morretes","16406"
"Nova Aliança do Ivaí","1543"
"Nova Esperança","27904"
"Nova Fátima","8153"
"Nova Londrina","13213"
"Paiçandu","41281"
"Palmas","50986"
"Palmeira","33877"
"Palotina","31846"
"Paraíso do Norte","13830"
"Paranacity","11472"
"Paranaguá","154936"
"Paranapoema","3203"
"Paranavaí","88374"
"Pato Branco","82881"
"Peabiru","13996"
"Pinhais","132157"
"Pinhal de São Bento","2731"
"Pinhão","32391"
"Piraquara","113036"
"Planaltina do Paraná","4263"
"Ponta Grossa","351736"
"Pontal do Paraná","27284"
"Prado Ferreira","3753"
"Primeiro de Maio","11123"
"Quatiguá","7449"
"Quatro Barras","23559"
"Querência do Norte","12206"
"Quitandinha","19049"
"Ramilândia","4451"
"Realeza","16922"
"Ribeirão do Pinhal","13029"
"Rio Branco do Sul","32397"
"Rio Negro","34170"
"Rolândia","66580"
"Santa Cruz de Monte Castelo","7800"
"Santa Fé","12037"
"Santa Isabel do Ivaí","8562"
"Santa Mariana","11724"
"Santa Mônica","3981"
"Santana do Itararé","4992"
"Santa Terezinha de Itaipu","23465"
"Santo Antônio do Caiuá","2641"
"Santo Inácio","5438"
"São João do Caiuá","5855"
"São João do Ivaí","10219"
"São José da Boa Vista","6206"
"São José dos Pinhais","323340"
"São Manoel do Paraná","2160"
"Sarandi","96688"
"Sertaneja","5284"
"Siqueira Campos","21016"
"Tamboara","5120"
"Telêmaco Borba","78974"
"Terra Boa","17094"
"Terra Rica","16789"
"Toledo","140635"
"Três Barras do Paraná","12040"
"Tuneiras do Oeste","8566"
"Tupãssi","8124"
"Umuarama","111557"
"União da Vitória","57517"
"Uraí","11314"
"Verê","7257"
"Vitorino","6838"
"Abelardo Luz","17904"
"Água Doce","7145"
"Águas de Chapecó","6486"
"Águas Mornas","6469"
"Alto Bela Vista","1937"
"Anita Garibaldi","7133"
"Antônio Carlos","8513"
"Arabutã","4267"
"Araquari","38129"
"Araranguá","68228"
"Armazém","8674"
"Arvoredo","2240"
"Aurora","5679"
"Balneário Arroio do Silva","13071"
"Balneário Camboriú","142295"
"Balneário Barra do Sul","10795"
"Balneário Gaivota","10979"
"Barra Velha","29168"
"Benedito Novo","11652"
"Biguaçu","68481"
"Blumenau","357199"
"Bombinhas","19769"
"Botuverá","5246"
"Braço do Norte","33450"
"Brusque","134723"
"Caçador","78595"
"Camboriú","82989"
"Campo Erê","8526"
"Canelinha","12240"
"Canoinhas","54401"
"Capivari de Baixo","24871"
"Catanduvas","10861"
"Caxambu do Sul","3642"
"Chapecó","220367"
"Cocal do Sul","16684"
"Concórdia","74641"
"Coronel Freitas","9981"
"Criciúma","215186"
"Cunha Porã","11086"
"Faxinal dos Guedes","10667"
"Florianópolis","500973"
"Forquilhinha","26793"
"Fraiburgo","36443"
"Garopaba","23078"
"Garuva","18145"
"Gaspar","69639"
"Governador Celso Ramos","14471"
"Grão Pará","6569"
"Gravatal","11501"
"Guabiruba","23832"
"Guaramirim","44819"
"Guatambú","4704"
"Herval d'Oeste","22606"
"Ibicaré","3202"
"Içara","56421"
"Ilhota","14184"
"Imbituba","44853"
"Indaial","69425"
"Ipira","4446"
"Ipumirim","7593"
"Irani","10419"
"Irati","1930"
"Itá","6169"
"Itaiópolis","21669"
"Itajaí","219536"
"Itapema","65312"
"Itapiranga","16872"
"Ituporanga","25086"
"Jaborá","3936"
"Jaguaruna","20024"
"Jaraguá do Sul","177697"
"Joaçaba","30118"
"Joinville","590466"
"Lages","157544"
"Laguna","45814"
"Lindóia do Sul","4563"
"Luiz Alves","12859"
"Mafra","56292"
"Maracajá","7293"
"Maravilha","25762"
"Massaranduba","16916"
"Meleiro","7015"
"Morro da Fumaça","17796"
"Navegantes","81475"
"Nova Erechim","5019"
"Nova Trento","14549"
"Nova Veneza","15166"
"Orleans","22912"
"Ouro","7295"
"Paial","1505"
"Palhoça","171797"
"Palma Sola","7423"
"Palmitos","16169"
"Papanduva","19320"
"Passo de Torres","8823"
"Paulo Lopes","7494"
"Pedras Grandes","3976"
"Penha","32531"
"Peritiba","2787"
"Pescaria Brava","10091"
"Balneário Piçarras","23147"
"Pinhalzinho","20313"
"Piratuba","3854"
"Planalto Alegre","2870"
"Pomerode","33447"
"Ponte Serrada","11593"
"Porto Belo","21388"
"Porto União","35398"
"Pouso Redondo","17453"
"Praia Grande","7319"
"Presidente Castello Branco","1568"
"Rancho Queimado","2878"
"Rio do Oeste","7489"
"Rio do Sul","71061"
"Rio Fortuna","4611"
"Rio Negrinho","42302"
"Rio Rufino","2483"
"Rodeio","11551"
"Salete","7642"
"Sangão","12678"
"Santa Cecília","16830"
"Santa Helena","2223"
"Santa Rosa do Sul","8358"
"Santo Amaro da Imperatriz","23245"
"São Bernardino","2336"
"São Bento do Sul","84507"
"São Carlos","11281"
"São Domingos","9445"
"São Francisco do Sul","52721"
"São João do Itaperiú","3733"
"São José","246586"
"São Lourenço do Oeste","24076"
"São Ludgero","13410"
"São Martinho","3180"
"São Miguel do Oeste","40482"
"Schroeder","21365"
"Seara","17541"
"Siderópolis","14007"
"Sombrio","30374"
"Taió","18395"
"Tangará","8676"
"Tigrinhos","1633"
"Tijucas","38407"
"Timbé do Sul","5348"
"Timbó","44238"
"Três Barras","19275"
"Treze de Maio","7081"
"Treze Tílias","7840"
"Trombudo Central","7360"
"Tubarão","105686"
"Tunápolis","4543"
"Turvo","12899"
"Urussanga","21268"
"Vargem Bonita","4492"
"Vidal Ramos","6338"
"Videira","53065"
"Xanxerê","50982"
"Xavantina","3933"
"Xaxim","28706"
"Zortéa","3363"
"Balneário Rincão","12760"
"Água Santa","3748"
"Ajuricaba","7024"
"Alegrete","73589"
"Alpestre","6258"
"Alvorada","210305"
"Ametista do Sul","7409"
"Anta Gorda","5981"
"Antônio Prado","13050"
"Arroio do Meio","20805"
"Arroio do Sal","10065"
"Arroio dos Ratos","14151"
"Arvorezinha","10424"
"Bagé","121143"
"Barros Cassal","11199"
"Bento Gonçalves","120454"
"Boa Vista do Sul","2783"
"Bom Jesus","11349"
"Bom Princípio","14055"
"Bom Retiro do Sul","12328"
"Butiá","20941"
"Caçapava do Sul","33624"
"Cachoeira do Sul","82201"
"Cachoeirinha","130293"
"Camaquã","66261"
"Campestre da Serra","3388"
"Campinas do Sul","5454"
"Campo Bom","66712"
"Candelária","31365"
"Candiota","9584"
"Canguçu","56045"
"Canoas","346616"
"Canudos do Vale","1716"
"Capão da Canoa","53049"
"Capão do Leão","25354"
"Carazinho","62110"
"Carlos Barbosa","29833"
"Caseiros","3202"
"Caxias do Sul","510906"
"Cerro Grande do Sul","12239"
"Chapada","9269"
"Charqueadas","40789"
"Cidreira","16254"
"Ciríaco","4747"
"Colinas","2438"
"Coronel Bicaco","7325"
"Coxilha","2756"
"Cruz Alta","60299"
"Cruzeiro do Sul","12348"
"Derrubadas","2805"
"Dois Irmãos","32671"
"Dom Feliciano","15414"
"Dom Pedrito","38461"
"Doutor Maurício Cardoso","4549"
"Doutor Ricardo","1983"
"Eldorado do Sul","41285"
"Encantado","22706"
"Encruzilhada do Sul","25877"
"Erechim","105862"
"Ernestina","3168"
"Espumoso","15588"
"Estação","5958"
"Estância Velha","50022"
"Esteio","83202"
"Estrela","34116"
"Eugênio de Castro","2396"
"Farroupilha","72331"
"Fazenda Vilanova","4533"
"Feliz","13547"
"Flores da Cunha","30745"
"Floriano Peixoto","1766"
"Frederico Westphalen","31313"
"Garibaldi","35070"
"General Câmara","8385"
"Getúlio Vargas","16212"
"Glorinha","8098"
"Gravataí","281519"
"Guaíba","98143"
"Harmonia","4866"
"Horizontina","19329"
"Ibirapuitã","4013"
"Ijuí","83475"
"Imbé","22800"
"Imigrante","3120"
"Itaqui","37620"
"Ivoti","24293"
"Jaguari","10848"
"Lagoa Vermelha","27807"
"Lajeado","84014"
"Machadinho","5445"
"Maratá","2691"
"Marau","44161"
"Marcelino Ramos","4402"
"Marques de Souza","4009"
"Mato Castelhano","2540"
"Minas do Leão","8075"
"Monte Belo do Sul","2548"
"Montenegro","65264"
"Mormaço","3085"
"Muçum","4954"
"Não-Me-Toque","17624"
"Nicolau Vergueiro","1682"
"Nonoai","11695"
"Nova Araçá","4759"
"Nova Bréscia","3330"
"Nova Palma","6512"
"Nova Prata","27257"
"Novo Hamburgo","246748"
"Osório","45994"
"Paim Filho","3828"
"Palmeira das Missões","33303"
"Paraí","7657"
"Paraíso do Sul","7611"
"Pareci Novo","3837"
"Passo Fundo","203275"
"Paverama","8487"
"Pelotas","342405"
"Pinto Bandeira","3003"
"Piratini","20663"
"Planalto","10084"
"Poço das Antas","2098"
"Pontão","3904"
"Porto Alegre","1483771"
"Pouso Novo","1639"
"Quaraí","22687"
"Rio Grande","211005"
"Rio Pardo","38275"
"Roca Sales","11393"
"Rolante","21349"
"Rosário do Sul","39422"
"Saldanha Marinho","2650"
"Salvador do Sul","7799"
"Sananduva","16270"
"Santa Bárbara do Sul","7994"
"Santa Clara do Sul","6603"
"Santa Cruz do Sul","130416"
"Santa Maria","282123"
"Sant'Ana do Livramento","77027"
"Santa Rosa","73254"
"Santa Tereza","1729"
"Santiago","49425"
"Santo Ângelo","77593"
"Santo Antônio da Patrulha","42894"
"Santo Cristo","14257"
"São Domingos do Sul","3074"
"São Gabriel","62105"
"São Jorge","2824"
"São José das Missões","2537"
"São Leopoldo","236835"
"São Lourenço do Sul","43582"
"São Luiz Gonzaga","33468"
"São Marcos","21556"
"São Sebastião do Caí","25685"
"São Valentim do Sul","2242"
"São Valério do Sul","2727"
"Sapiranga","81734"
"Sapucaia do Sul","141075"
"Sarandi","24489"
"Serafina Corrêa","17502"
"Sério","1962"
"Sertão","5415"
"Soledade","31002"
"Tabaí","4719"
"Tapejara","24111"
"Taquara","57466"
"Taquari","26862"
"Terra de Areia","11204"
"Teutônia","33232"
"Tio Hugo","3030"
"Torres","38732"
"Tramandaí","51715"
"Três Arroios","2668"
"Três Cachoeiras","11053"
"Três Forquilhas","2697"
"Três Palmeiras","4271"
"Três Passos","23906"
"Trindade do Sul","5802"
"Triunfo","29538"
"Tucunduva","5678"
"Tunas","4569"
"Tupandi","4855"
"Uruguaiana","126970"
"Vacaria","66218"
"Vanini","2113"
"Venâncio Aires","71554"
"Veranópolis","26241"
"Viamão","255224"
"Victor Graeff","2882"
"Vila Flores","3385"
"Vila Lângaro","2091"
"Vila Maria","4358"
"Vista Alegre do Prata","1561"
"Westfália","3014"
"Xangri-lá","16408"
